Part number,Description,No Datasheet Available
74168,synchronous presettable 4-bit up/down decade counter,No Datasheet Available
74169,synchronous presettable 4-bit up/down binary counter,No Datasheet Available
74170,"4 by 4 register file, open collector outputs",No Datasheet Available
74171,"quad D-type flip-flops, clear",No Datasheet Available
74172,"16-bit multiple port register file, three-state outputs",No Datasheet Available
74173,"quad D flip-flop, three-state outputs and asynchronous clear",Datasheets_7400/74HC_HCT173.pdf
74174,"hex D flip-flop, common asynchronous clear",Datasheets_7400/74HC_HCT174.pdf
74175,"quad D edge-triggered flip-flop, complementary outputs and asynchronous clear",Datasheets_7400/74HC_HCT175.pdf
74176,presettable decade (bi-quinary) counter/latch,No Datasheet Available
74177,presettable binary counter/latch,No Datasheet Available
74178,4-bit parallel-access shift register,No Datasheet Available
74179,"4-bit parallel-access shift register, asynchronous clear and complementary Qd outputs",No Datasheet Available
74180,9-bit odd/even parity bit generator and checker,No Datasheet Available
74181,4-bit arithmetic logic unit and function generator,No Datasheet Available
74182,lookahead carry generator,No Datasheet Available
74183,dual carry-save full adder,No Datasheet Available
74184,BCD to binary converter,No Datasheet Available
74185,6-bit binary to BCD converter,No Datasheet Available
74186,"512-bit (64x8) ROM, open collector outputs",No Datasheet Available
74187,"1024-bit (256x4) ROM, open collector outputs",No Datasheet Available
74188,"256-bit (32x8) PROM, open collector outputs",No Datasheet Available
74189,"64-bit (16x4) RAM, inverting three-state outputs",No Datasheet Available
74190,synchronous presettable up/down decade counter,No Datasheet Available
74191,synchronous presettable up/down binary counter,Datasheets_7400/74HC191.pdf
74192,"synchronous presettable up/down decade counter, clear",No Datasheet Available
74193,"synchronous presettable up/down 4-bit binary counter, clear",Datasheets_7400/74HC_HCT193.pdf
74194,4-bit bidirectional universal shift register,Datasheets_7400/74HC194.pdf
74195,4-bit parallel-access shift register,Datasheets_7400/cd74hc195.pdf
74196,presettable decade counter/latch,No Datasheet Available
74197,presettable binary counter/latch,No Datasheet Available
74198,8-bit bidirectional universal shift register,No Datasheet Available
74199,"8-bit universal shift register, J-Not-K serial inputs",No Datasheet Available
74200,"256-bit RAM, three-state outputs",No Datasheet Available
74201,"256-bit (256x1) RAM, three-state outputs",No Datasheet Available
74206,"256-bit RAM, open collector outputs",No Datasheet Available
74209,"1024-bit (1024x1) RAM, three-state output",No Datasheet Available
74210,octal buffer,No Datasheet Available
74219,"64-bit (16x4) RAM, non-inverting three-state outputs",No Datasheet Available
74221,"dual monostable multivibrator, Schmitt trigger input",Datasheets_7400/sn54221.pdf
74222,"16 by 4 synchronous FIFO memory, three-state outputs",No Datasheet Available
74224,"16 by 4 synchronous FIFO memory, three-state outputs",No Datasheet Available
74225,asynchronous 16x5 FIFO memory,No Datasheet Available
74226,"4-bit parallel latched bus transceiver, three-state outputs",No Datasheet Available
74227,64-bit FIFO memory 16x4,No Datasheet Available
74228,"64-bit FIFO memory 16x4, open-collector outputs",No Datasheet Available
74229,"80-bit FIFO memory 16x5, three-state outputs",No Datasheet Available
74230,"octal buffer/driver, three-state outputs, true and complementary inputs",No Datasheet Available
74231,"octal buffer and line driver, three-state outputs, G and /G complementary inputs",No Datasheet Available
74232,quad NOR Schmitt trigger,No Datasheet Available
74233,"80-bit FIFO memory 16x5, three-state outputs",No Datasheet Available
74237,"3-of-8 decoder/demultiplexer, address latch, active high outputs",Datasheets_7400/74HC237.pdf
74238,"3-of-8 decoder/demultiplexer, active high outputs",Datasheets_7400/74HC_HCT238.pdf
74239,"dual 2-of-4 decoder/demultiplexer, active high outputs",No Datasheet Available
74240,"octal buffer, inverting three-state outputs",Datasheets_7400/74AUP2G240.pdf
74241,"octal buffer, non-inverting three-state outputs",Datasheets_7400/74AUP2G241.pdf
74242,"quad bus transceiver, inverting three-state outputs",No Datasheet Available
74243,"quad bus transceiver, non-inverting three-state outputs",Datasheets_7400/cd74hc243.pdf
74244,"octal buffer, non-inverting three-state outputs",Datasheets_7400/74HC_HCT244.pdf
74245,"octal bus transceiver, non-inverting three-state outputs",Datasheets_7400/74HC_HCT245.pdf
74246,"BCD to 7-segment decoder/driver, 30 V open collector outputs",No Datasheet Available
74247,"BCD to 7-segment decoder/driver, 15 V open collector outputs",No Datasheet Available
74248,"BCD to 7-segment decoder/driver, Internal Pull-up outputs",No Datasheet Available
74249,"BCD to 7-segment decoder/driver, open collector outputs",No Datasheet Available
74250,1 of 16 data selectors/multiplexers,No Datasheet Available
74251,"8-line to 1-line data selector/multiplexer, complementary three-state outputs",Datasheets_7400/74HC_HCT251.pdf
74253,"dual 4-line to 1-line data selector/multiplexer, three-state outputs",Datasheets_7400/74HC_HCT253.pdf
74255,dual 4-bit addressable latch,No Datasheet Available
74256,dual 4-bit addressable latch,No Datasheet Available
74257,"quad 2-line to 1-line data selector/multiplexer, non-inverting three-state outputs",Datasheets_7400/74HC_HCT257.pdf
74258,"quad 2-line to 1-line data selector/multiplexer, inverting three-state outputs",Datasheets_7400/sn74hc258.pdf
74259,8-bit addressable latch,Datasheets_7400/74HC_HCT259.pdf
74260,dual 5-input NOR gate,No Datasheet Available
74261,2-bit by 4-bit parallel binary multiplier,No Datasheet Available
74264,look ahead carry generator,No Datasheet Available
74265,quad complementary output elements,No Datasheet Available
74266,"quad 2-input XNOR gate, open collector outputs",No Datasheet Available
74268,"hex D-type latches three-state outputs, common output control, common enable",No Datasheet Available
74269,8-bit bidirectional binary counter,No Datasheet Available
74270,"2048-bit (512x4) ROM, open collector outputs",No Datasheet Available
74271,"2048-bit (256x8) ROM, open collector outputs",No Datasheet Available
74273,"8-bit register, asynchronous clear",Datasheets_7400/74HC_HCT273.pdf
74274,4-bit by 4-bit binary multiplier,No Datasheet Available
74275,7-bit slice Wallace tree,No Datasheet Available
74276,"quad J-Not-K edge-triggered flip-flops, separate clocks, common preset and clear",No Datasheet Available
74278,"4-bit cascadeable priority registers, latched data inputs",No Datasheet Available
74279,quad set-reset latch,No Datasheet Available
74280,9-bit odd/even parity bit generator/checker,Datasheets_7400/74HC_HCT280.pdf
74281,4-bit parallel binary accumulator,No Datasheet Available
74282,"look-ahead carry generator, selectable carry inputs",No Datasheet Available
74283,4-bit binary full adder (has carry in function),No Datasheet Available
74284,4-bit by 4-bit parallel binary multiplier (low order 4 bits of product),No Datasheet Available
74285,4-bit by 4-bit parallel binary multiplier (high order 4 bits of product),No Datasheet Available
74286,"9-bit parity generator/checker, bus driver parity I/O port",No Datasheet Available
74287,"1024-bit (256x4) PROM, three-state outputs",No Datasheet Available
74288,"256-bit (32x8) PROM, three-state outputs",No Datasheet Available
74289,"64-bit (16x4) RAM, open collector outputs",No Datasheet Available
74290,decade counter (separate divide-by-2 and divide-by-5 sections),No Datasheet Available
74291,"4-bit universal shift register, binary up/down counter, synchronous",No Datasheet Available
74292,programmable frequency divider/digital timer,No Datasheet Available
74293,4-bit binary counter (separate divide-by-2 and divide-by-8 sections),No Datasheet Available
74294,programmable frequency divider/digital timer,No Datasheet Available
74295,"4-bit bidirectional register, three-state outputs",No Datasheet Available
74297,digital phase-locked loop filter,Datasheets_7400/cd74hct297.pdf
74298,"quad 2-input multiplexer, storage",No Datasheet Available
74299,"8-bit bidirectional universal shift/storage register, three-state outputs",Datasheets_7400/74HC299.pdf
74301,"256-bit (256x1) RAM, open collector output",No Datasheet Available
74309,"1024-bit (1024x1) RAM, open collector output",No Datasheet Available
74310,"octal buffer, Schmitt trigger inputs",No Datasheet Available
74314,1024-bit RAM,No Datasheet Available
74319,64-bit RAM (16x4) open collector outputs,No Datasheet Available
74320,crystal-controlled oscillator,No Datasheet Available
74321,"crystal-controlled oscillators, F/2 and F/4 count-down outputs",No Datasheet Available
74322,"8-bit shift register, sign extend, three-state outputs",No Datasheet Available
74323,"8-bit bidirectional universal shift/storage register, three-state outputs",No Datasheet Available
74324,voltage-controlled oscillator (or crystal controlled),No Datasheet Available
74340,"octal buffer, Schmitt trigger inputs and three-state inverting outputs",No Datasheet Available
74341,"octal buffer, Schmitt trigger inputs and three-state non-inverting outputs",No Datasheet Available
74344,"octal buffer, Schmitt trigger inputs and three-state non-inverting outputs",No Datasheet Available
74347,"BCD-to-7 segment decoders/drivers open collector outputs, low voltage version of 7447",No Datasheet Available
74348,"8 to 3-line priority encoder, three-state outputs",No Datasheet Available
74350,"4-bit shifter, three-state outputs",No Datasheet Available
74351,"dual 8-line to 1-line data selectors/multiplexers, three-state outputs and 4 common data inputs",No Datasheet Available
74352,"dual 4-line to 1-line data selectors/multiplexers, inverting outputs",No Datasheet Available
74353,"dual 4-line to 1-line data selectors/multiplexers, inverting three-state outputs",No Datasheet Available
74354,"8 to 1-line data selector/multiplexer, transparent latch, three-state outputs",No Datasheet Available
74355,"8-line to 1-line data selector/multiplexer, transparent registers, open-collector outputs",No Datasheet Available
74356,"8 to 1-line data selector/multiplexer, edge-triggered register, three-state outputs",No Datasheet Available
74357,"8-line to 1-line data selectors/multiplexers/edge-triggered registers, open-collector outputs",No Datasheet Available
74361,bubble memory function timing generator,No Datasheet Available
